Perfume,Brand,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
feelin-sexy-for-her,hinode,"pink pepper, red fruits, lemon zest","violet, pear blossom, lily","patchouli, musk, coton candy",sweet,musky,patchouli,powdery,fruity
emerald-reign,house-of-sillage,fruity notes,"cardamom, nutmeg, coriander","benzoin, sandalwood",warm spicy,amber,aromatic,woody,fresh spicy
jacques-fath-irissime,jacques-fath,"wisteria, pink pepper, bergamot","iris, jasmine, rose","musk, virginia cedar, ambergris",powdery,iris,floral,musky,woody
les-lions-d-arthes-2012,jeanne-arthes,"lemon, black currant, bergamot","orchid, lotus, fruity notes, ylang-ylang","sandalwood, dark chocolate, olibanum, patchouli, vanilla",woody,warm spicy,sweet,floral,fruity
love-generation-pin-up,jeanne-arthes,"bergamot, tangerine","rose, jasmine","musk, sandalwood, patchouli",citrus,musky,rose,white floral,powdery
iris-neroli,jeanne-en-provence,"neroli, bergamot, mandarin orange","iris, powdery notes, orange blossom","musk, sandalwood, vetiver",powdery,citrus,white floral,iris,woody
kourtney-ruby-diamond,kkw-fragrance,"ginger, pink pepper, orchid","pimento, rose, poppy","vanilla bean, australian sandalwood, jasmine",warm spicy,floral,fresh,rose,powdery
avra,korres,mandarin orange,orange blossom,white woods,citrus,white floral,sweet,woody,unknown
cerisier-litchi,l-occitane-en-provence,"clementine, cardamom, lime","geranium, litchi, cherry blossom","musk, woody notes",citrus,warm spicy,aromatic,fruity,floral
dama-da-noite-estrelada,l-occitane-au-bresil,"freesia, cardamom, bergamot","night blooming jasmine, heliotrope, orange blossom, lily-of-the-valley","tonka bean, patchouli, musk",white floral,sweet,vanilla,powdery,fruity
olinda-de-viver,l-occitane-au-bresil,"violet leaves, tangerine, litchi, pear","freesia, jasmine, geranium","musk, vanilla, patchouli, sandalowood",fruity,floral,aquatic,ozonic,citrus
vanahe,la-maison-de-la-vanille,"lavender, bergamot, hyacinth, iris, orange blossom","water notes, white musk, black currant",vanille,fresh spicy,vanilla,citrus,lavender,powdery
autograph-new-york,marks-spencer,"apricot, gardenia, bergamot","woody notes, rose, jasmine","vanilla, musk, heliotrope, sandalwood",woody,powdery,vanilla,white floral,musky
bohemia,marks-spencer,"amalfi lemon, bergamot, blueberry","gardenia, lily-of-the-valley, mimosa","vanille, amber, virginia cedar",citrus,white floral,fresh,fruity,aromatic
chique,milton-lloyd,"aldehydes, lily-of-the-valley, rose, jasmine","orris, ylang-ylang","moss, cedar, musk, patchouli",woody,earthy,mossy,white floral,fresh
nirmala,molinard,"mango, passionfruit, pomelo, grapefruit, mandarin orange","exotic floral notes, jasmine","vanilla, tonka bean, musk, sandalwood, virginia cedar",tropical,sweet,fruity,citrus,vanilla
blossoming-honeysuckle-white-tea,molton-brown,"bergamot, mandarin orange","honeysuckle, jasmine, white tea","vanilla, sandalwood, heliotrope",white floral,vanilla,powdery,citrus,fruity
iris-of-tuscany,monotheme-venezia,"amalfi lemon, bergamot",iris,"violet, freesia",violet,powdery,citrus,iris,floral
pomegranate,monotheme-venezia,red fruits sorbet,"pomegranate, peach, black currant","amber, musk",fruity,woody,amber,fresh spicy,sweet
kiss-me-tender,nicolai-parfumeur-createur,"bitter almond, star anise, orange blossom","heliotrope, ylang-ylang, spices, cinnamon, cloves","vanilla, musk, opoponax",vanilla,powdery,almond,sweet,floral
casta-diva,nobile-1942,"ylang-ylang, green notes","frangipani, jasmine, osmanthus, neroli","vanille, musk, amber, oak moss",floral,yellow floral,white floral,tropical,fruity
essences-44,nuancielo,"tobacco leaf, spicy notes","cacao, vanille, tonka bean, tobacco blossom","dried fruits, woodsy notes",sweet,warm spicy,tobacco,woody,fruity
oro-750,omnia-profumi,"amalfi lemon, bergamot, honeysuckle","lavender, peony, lilac","vanilla, coumarin, sandalwood, patchouli, olibanum",vanilla,woody,floral,aromatic,balsamic
parisian-dream,pascal-morabito,"pink pepper, tangerine, pineapple","caramel, jasmine, orange blossom","vanilla, musk, amber",sweet,white floral,vanilla,caramel,musky
perle-royale,pascal-morabito,"orange blossom, elemi, tangerine","plum, jasmine, iris","praline, patchouli, vanilla, musk",sweet,white floral,citrus,patchouli,fruity
cool-madam,paris-elysees,"orange, tangerine","turkey red rose, jasmine, mimosa, ylang-ylang","patchouli, vetiver, white musk, vanille",citrus,woody,patchouli,earthy,rose
petit-bisou,paris-elysees,"plum, violet, star anise, spicy notes, blackcurrant syrup","tuberose, ylang-ylang, orange blossom, lily-of-the-valley","vanilla, benzoin, tonka bean, moss",white floral,fruity,tuberose,sweet,vanilla
uma-ovelha-pra-la-de-negra,quem-disse-berenice,"bergamot, neroli, mandarin orange","iris, pepper, rose","cedar, musk, sandalwood, amber",woody,powdery,fresh spicy,citrus,iris
l-i-l-y-absolute,stella-mccartney,"truffle, black pepper","lily-of-the-valley, pink pepper, ambrette (musk mallow)","patchouli, amber, oakmoss, white woods",earthy,woody,white floral,patchouli,musky
black-musk-night-bloom,the-body-shop,"red berries, pineapple, pepper","ylang-ylang, heliotrope, rose","patchouli, musk, vanilla, sandalwood, cedar",fruity,sweet,woody,powdery,patchouli
cassis-rose,the-body-shop,"raspberry, black currant","rose, freesia, violet","musk, cedar, sandalwood",fruity,rose,floral,woody,sweet
white-musk,the-body-shop,"musk, lily, ylang-ylang, galbanum, basil","musk, lily, jasmine, rose","musk, iris, jasmine, oakmoss, amber, vanilla, rose, vetiver, patchouli, peach",musky,powdery,white floral,iris,earthy
eau-my-delice,women-secret,"grapefruit, pomegranate, green notes, pepper","orchid, pear, peony, lotus, ginger, neroli","musk, sandalwood, tonka bean, cypress, virginia cedar",floral,citrus,woody,sweet,fruity
only-me-passion,yves-de-sistelle,tropical fruits,"red berries, jasmine, rose","sweet notes, musk, woody notes",fruity,sweet,tropical,fresh,white floral
blousy,miller-harris,"pink pepper, davana, green mandarin, coriander, cinnamon","liquor, strawberry, moroccan rose, turkish rose oil, iris, hawthorn, violet, carnation","vanilla, sandalwood, tonka bean, oakmoss",sweet,floral,fruity,powdery,rose
acqua,paolo-gigli,"pineapple, melon, peach, big strawberry, granny smith apple, grapes, mandarin orange","orchid, freesia, lily, lily-of-the-valley, rose","musk, virginia cedar, sandalwood",fruity,sweet,fresh,floral,ozonic
liberte,we-pink,"pink pepper, nutmeg, pomegranate, bergamot, grapefruit","rose de mai, damask rose, magnolia, peony, jasmine, haitian vetiver","cashmere wood, saffron, amber, musk, vanilla",floral,rose,white floral,citrus,fresh
vf-virginia-fonseca-aqua,we-pink,"green apple, mandarin orange, pink pepper, black currant","jasmine, lily of the valley, peony, plum","musk, patchouli, sandalwood, amber",white floral,fresh,floral,fruity,woody
sensi-piu,verset-parfums,red apple,bamboo,woody notes,woody,fruity,sweet,fresh,unknown
varens-original-patchouli-chic,ulric-de-varens,bergamot,"patchouli, jasmine, lily-of-the-valley","vanilla, caramel, virginia cedar, musk",patchouli,woody,vanilla,warm spicy,caramel
forum-jeans-in-blue,tufi-duek,"lemon, apple, tangerine","lilac, jasmine, cedar, rose, lavender","musk, sandalowood",citrus,fresh,woody,white floral,floral
red-velvet,so,"peach, bergamot, sea notes","peony, cherry blossom, violet","tonka bean, amber, cedar",floral,amber,fresh,vanilla,aromatic
b-u-fantasy,sarantis,"red currant, black currant, pineapple, melon","tiare flower, heliotrope, violet, freesia","sugar, vetiver, musk, sandalwood",fruity,sweet,powdery,fresh,floral
b-u-heartbeat,sarantis,"red berries, bergamot","rose, freesia","vanille, musk, sandalwood",vanilla,powdery,fruity,musky,sweet
helene,rance-1795,"neroli, ylang-ylang, cardamom, cinnamon","orange blossom, tonka bean, jasmine sambac, rose","heliotrope, sandalwood, musk, iris, benzoin",powdery,white floral,warm spicy,vanilla,woody
pauline,rance-1795,"cotton flower, orange, ylang-ylang","violet, rose, patchouli","tonka bean, benzoin, virginia cedar",powdery,violet,floral,woody,rose
rose-de-rose,rance-1795,rose,"ylang-ylang, jasmine, tuberose","vanille, sandalwood",rose,vanilla,woody,white floral,yellow floral
wasanbon,parfum-satori,"lemon, grapes","sugar, mimosa, honey, almond, lily-of-the-valley","iris, vanilla, guaiac wood",sweet,powdery,vanilla,citrus,iris
clandestine-for-women,pacha-ibiza,"raspberry, pear, cassis, bergamot","rose, heliotrope, freesia","sandalwood, amber, vetiver, benzoin",fruity,woody,sweet,aromatic,rose
live-in-love-new-york,oscar-de-la-renta,"galbanum, hyacinth, orchid, lily-of-the-valley, bergamot","african orange flower, jasmine, rose","sandalwood, cedar, musk, amber",white floral,green,floral,woody,powdery
tropicale,oscar-de-la-renta,"dewberry, passion flower, mandarin orange, bergamot","frangipani, ylang-ylang, orange blossom","vanilla, sandalwood, amber",floral,citrus,fruity,sweet,vanilla
michalsky-for-women,michael-michalsky,"pear, orange, grapefruit","heliotrope, licorice, neroli","vanille, praline, sandalwood",sweet,vanilla,powdery,citrus,fruity
modern-charm,mary-kay,"melon, green leaves, apple","iris, jasmine, hyacinth","patchouli, amber, vetiver",green,earthy,iris,woody,fruity
for-her,mandarina-duck,"orange, red currant, pink pepper","peony, jasmine, mimosa","musk, cedar, amber",fresh,floral,citrus,sweet,fruity
louis-feraud,louis-feraud,"pear, grapefruit, pink pepper","apricot, cherry blossom, gardenia, heliotrope","musk, sandalwood, cedar, vanilla, amber",fruity,powdery,citrus,sweet,floral
queen-of-life,la-rive,"black currant, pear","iris, jasmine, orange blossom","praline, vanilla, patchouli, tonka bean, almond",sweet,vanilla,fruity,patchouli,woody
caprifoglio,l-erbolario,"bergamot, ylang-ylang, neroli","honeysuckle, jasmine, lily-of-the-valley, orange blossom, violet leaf, rose petals","cedar, amber, sandalwood",white floral,citrus,yellow floral,fruity,woody
ophelia,james-heeley,"water lily, green notes","jasmine, tuberose, ylang-ylang","white musk, oak moss, ambergris",white floral,floral,green,tuberose,yellow floral
macadam,il-profvmo,"peach, honey, sweet orange","myrrh, white rose, peony, indian jasmine, magnolia, geranium, lily-of-the-valley","pitahaya, sandalwood, patchouli, musk, coconut",floral,woody,warm spicy,amber,rose
close,gap,"salt, almond, water notes, citruses","jasmine, heliotrope, freesia","musk, vanilla, sandalwood, amber",powdery,almond,musky,vanilla,floral
journal-intime,galimard,"grapefruit, black currant, rose","lily-of-the-valley, iris","blackberry, musk, sandalwood",fruity,citrus,rose,woody,powdery
belle-de-nuit,fragonard,"gardenia, ylang-ylang, mirabilis","rose, violet, geranium","dried plum, musk, woody notes",rose,powdery,floral,fruity,violet
diva-absoluta,eudora,"litchi, bergamot, italian lemon","black cherry, rose, benzoin, frangipani","amberwood, spun sugar, musk, vetiver, vanilla",amber,cherry,woody,tropical,sweet
benetroessere-relent,etro,"orange, lemon, eucalyptus","iris, orange blossom, rose","amber, vanilla, musk, citron",citrus,iris,powdery,amber,violet
angelic-flower,esteban,"angelica, bergamot","may rose, violet, iris","musk, amber",powdery,musky,rose,amber,violet
le-parfum-lumiere,elie-saab,"orange blossom, ylang-ylang, mandarin orange","tuberose, jasmine sambac, gardenia","patchouli, musk, woody notes, amber",white floral,citrus,woody,tuberose,animalic
eau-fraiche-delicate,eisenberg,"apple, black currant, mandarin orange, grapefruit","lily-of-the-valley, jasmine, peach","cedarwood, musk, tonka bean, sandalwood",fruity,white floral,woody,fresh,citrus
iris-rose,e-coudray,"iris, rose, violet leaf","orris root, heliotrope","musk, tonka bean, vanilla, woodsy notes, patchouli, labdanum",powdery,iris,vanilla,rose,earthy
un-air-d-arabie-rose-of-taif,dorin,"rose, saffron, chamomile, freesia","sandalwood, patchouli, styrax, leather, amber","castoreum, musk, vanille",leather,woody,rose,musky,warm spicy
un-air-de-damas-jasmine,dorin,"green notes, citruses",jasmine,"woodsy notes, musk",white floral,green,musky,woody,floral
romantique,dorin,"lemon, bergamot","neroli, rose, jasmine","vetiver, sandalwood, patchouli, cedar",woody,citrus,white floral,aromatic,rose
3-pink-pepper,dilis-parfum,"champagne, apricot, black orchid","pepper, whipped cream, mahogany",sandalwood,champagne,sweet,fresh spicy,fruity,lactonic
bergamot-jasmine-labdanum,dame-perfumery,"bergamot, black pepper, black currant, mandarin orange","jasmine, lily-of-the-valley, violet, geranium, ylang-ylang","labdanum, musk, vanilla, sandalwood, cedar",white floral,woody,musky,fresh spicy,powdery
florentine-freesia-flower-water,crabtree-evelyn,"freesia, pear, orange","lily-of-the-valley, green notes, cyclamen","jasmine, amber, musk",floral,white floral,green,fresh,fruity
dark-choco,city,"plum, pear","cacao pod, white orchid","vanilla, musk, sandalwood",cacao,vanilla,sweet,warm spicy,fruity
c-est-la-fete-patchouli,christian-lacroix,"bergamot, amalfi lemon","elemi resin, heliotrope, jasmine","patchouli, sandalwood, tonka bean, virginia cedar",woody,patchouli,warm spicy,aromatic,balsamic
madame-charrier,charrier-parfums,"aldehydes, bergamot, brazilian rosewood, mandarin orange","jasmine, rose, ylang-ylang, broom","sandalwood, patchouli, benzoin, vanille",woody,warm spicy,aldehydic,yellow floral,patchouli
poivre,caron,"clove, carnation, pepper, spices, red pepper","cloves, floral notes, geranium, rose, jasmine, ylang-ylang, tuberose","oakmoss, opoponax, sandalwood, woodsy notes, vetiver",warm spicy,floral,fresh spicy,woody,aromatic
byblos-luna,byblos,"aldehydes, bergamot, elemi","white iris, violet, rose","musk, vetiver, amber",powdery,violet,iris,aldehydic,musky
tiare,bottega-verde,"coconut milk, ginger, citron","tiare flower, gardenia, rose","vanilla, cashmere wood, tonka bean",white floral,coconut,sweet,lactonic,vanilla
l-eau-by-lait-corporel,biotherm,"orange, mandarin orange, bergamot",freesia,cedar,citrus,fresh spicy,woody,unknown,unknown
bijan,bijan,"ylang-ylang, orange blossom, narcissus, neroli, bergamot, basil","honey, tuberose, carnation, jasmine, bulgarian rose, orris root, lily-of-the-valley","benzoin, sandalwood, amber, musk, tonka bean, vanilla, oakmoss, heliotrope, cedar, patchouli",white floral,amber,woody,powdery,floral
badgley-mischka-couture,badgley-mischka,"pear, plum, blackberry","gardenia, jasmine, violet","patchouli, musk, vetiver",fruity,white floral,sweet,patchouli,woody
sloane-rose,atelier-flou,"violet leaf, jasmine, orange",rose,"ambergris, cedar",ozonic,rose,aquatic,white floral,citrus
najm-noir,al-haramain-perfumes,"osmanthus, orange blossom",vanilla,"musk, vetiver",musky,powdery,vanilla,floral,woody
delicate,al-haramain-perfumes,"red fruits, violet, cinnamon","peony, lily-of-the-valley, tuberose","black currant, musk, lilac",floral,fruity,fresh,powdery,white floral
tres-jour,armaf,"green tea, lemon, neroli","white flowers, jasmine, tuberose","musk, cedar, patchouli, vanilla",white floral,citrus,green,woody,fresh
topaze,avon,"aldehydes, coriander, peach, bergamot, lemon","carnation, ylang-ylang, iris, rose, jasmine, lily-of-the-valley","civet, sandalwood, amber, benzoin, vetiver, tonka bean",amber,aldehydic,floral,woody,aromatic
herve-leger-intrigue,avon,"cotton flower, pepper, wildflowers","rose, silk tree blossom, tea","cashmere wood, tonka bean, musk",floral,musky,powdery,fresh spicy,woody
simple-elements-meadow-dew,avon,"ivy, water notes, cucumber","water hyacinth, sweet pea","teak wood, white musk",aquatic,ozonic,green,floral,fresh
fantasy-in-bloom,britney-spears,"japanese cherry blossom, red berries, green mandarin","jasmine, osmanthus, tuberose","vanilla, sandalwood, amber",fruity,floral,fresh,sweet,white floral
fantasy-naked,britney-spears,"applejack, black currant","peach, osmanthus, water lily","cupcake, vanilla, apricot, musk",sweet,fruity,powdery,vanilla,floral
blv,bvlgari,"ginger, bergamot","wisteria, flax","musk, sandalwood, black locust, vanilla",floral,warm spicy,powdery,musky,citrus
omnia-crystalline,bvlgari,"bamboo, pear","lotus, tea, cassia","musk, guaiac wood, oakmoss",woody,floral,musky,green,aquatic
amor-amor-tentation,cacharel,"ivy, mandarin orange","jasmine, tiare flower","spices, vanille, virginia cedar",white floral,vanilla,citrus,green,woody
catch-me-l-eau,cacharel,"jasmine, mandarin orange, tea, petitgrain","orange blossom, star anise","mate, musk",white floral,citrus,green,anis,soft spicy
flore,carolina-herrera,"green notes, aldehydes, fruity notes, bergamot","lily-of-the-valley, jasmine, lilac, iris, rose","iris, musk, woodsy notes, sandalwood",white floral,fresh,green,floral,woody
212-vip-rose-red,carolina-herrera,"liquor, tomato, raspberry","tiramisu, spices, bulgarian rose","patchouli, musk, woody notes",sweet,green,alcohol,aromatic,fresh spicy
good-girl-glorious-gold-collector-edition,carolina-herrera,"almond, coffee, bergamot, lemon","tuberose, bulgarian rose, orange blossom, orris, jasmine","tonka bean, cacao, praline, vanilla, patchouli, cashmere wood, sandalwood, cinnamon, musk, cedar, amber",sweet,warm spicy,woody,white floral,vanilla
chanel-no-5-eau-de-toilette,chanel,"aldehydes, ylang-ylang, neroli, amalfi lemon, bergamot","iris, jasmine, rose, orris root, lily-of-the-valley","civetta, musk, sandalwood, oak moss, vetiver, amber, vanille, patchouli",woody,powdery,aldehydic,fresh,iris
coach-the-fragrance-eau-de-toilette,coach,"pear, pink grapefruit, mandarin orange","white rose, bulgarian rose, jasmine sambac","musk, oakmoss, white cedar extract, sandalwood",citrus,rose,woody,musky,fruity
miss-dior-cherie,dior,"cherry, strawberry, pineapple, mandarin orange","popcorn, caramel, rose, jasmine, violet","patchouli, musk, amber",sweet,fruity,caramel,cherry,patchouli
miss-dior-cherie-blooming-bouquet-2007,dior,mandarin orange,peony,musk,floral,fresh,rose,musky,citrus
poison-girl-eau-de-toilette-roller-pearl,dior,"frosted orange, bitter orange, lemon","grasse rose, damask rose, orange blossom, neroli","vanilla, caramel, tonka bean, cashmeran, heliotrope",citrus,vanilla,sweet,caramel,powdery
olene-eau-de-toilette,diptyque,"narcissus, honeysuckle","jasmine, wisteria","white flowers, green notes",white floral,floral,green,yellow floral,unknown
dolce-gabbana-pour-femme,dolce-gabbana,"raspberry, neroli, mandarin orange","orange blossom, jasmine","marshmallow, vanilla, sandalwood, heliotrope",sweet,powdery,vanilla,fruity,white floral
light-blue-love-in-capri,dolce-gabbana,"lemon, mandarin orange","honeysuckle, jasmine, almond blossom, heliotrope","cedar, musk, amber",citrus,white floral,powdery,woody,floral
untold-eau-fraiche,elizabeth-arden,"white tea, mandarin orange, pear","freesia, orange blossom, lily-of-the-valley","cashmere wood, vetiver, musk",green,citrus,white floral,woody,musky
escada-magnetism,escada,"red berries, black currant, cassia, litchi, pineapple, melon","green leaves, basil, almond blossom, iris, freesia, heliotrope, jasmine, magnolia, rose, caraway, lily-of-the-valley","caramel, vanilla, patchouli, benzoin, sandalwood, musk, amber, vetiver",fruity,sweet,green,aromatic,fresh
escada-rockin-rio-2011,escada,"papaya, pineapple, tangerine, coconut","peach, piÒa colada, sugar cane","musk, sandalwood",sweet,fruity,tropical,coconut,citrus
cinnabar,estee-lauder,"spices, cloves, tangerine, peach, orange blossom, bergamot","cinnamon, carnation, ylang-ylang, jasmine, lily, rose, lily-of-the-valley","incense, tolu balsam, amber, benzoin, sandalwood, patchouli, vanilla, vetiver",warm spicy,amber,woody,balsamic,powdery
bali-dream,estee-lauder,"orchid, magnolia, ginger","gardenia, indonesian jasmine, apple, ylang-ylang, pepper, lily-of-the-valley, cassia","vanilla, woodsy notes",floral,white floral,fresh,sweet,warm spicy
si-intense,giorgio-armani,"black currant, cassis, freesia, mandarin orange, bergamot","may rose, osmanthus, neroli, artemisia","vanilla, patchouli, woody notes, ambroxan",fruity,woody,floral,aromatic,soft spicy
acqua-di-parma-iris-nobile,acqua-di-parma,"iris, star anise, bergamot, mandarin orange, orange","tuberose, orange blossom, mimosa, ylang-ylang, hibiscus, cedar","vanilla, amber",white floral,powdery,citrus,yellow floral,iris
honour-woman,amouage,"rhuburb, pepper, coriander","gardenia, tuberose, jasmine, lily-of-the-valley, carnation","amber, incense, opoponax, vetiver, leather",white floral,green,tuberose,aromatic,animalic
interlude-woman,amouage,"marigold, ginger, grapefruit, bergamot","incense, walnut, immortelle, kiwi, honey, opoponax, coffee, sandalwood, rose, orange blossom, jasmine","leather, benzoin, agarwood (oud), amber, sandalwood, tonka bean, oakmoss, vanilla, musk",amber,warm spicy,sweet,balsamic,woody
hot-couture-white-collection,givenchy,"pepper, raspberry",magnolia,"vetiver, amber",fresh spicy,fruity,floral,aromatic,sweet
l-interdit-eau-de-toilette,givenchy,poppy,"tuberose, orange blossom, musk","patchouli, vetiver",white floral,tuberose,woody,musky,animalic
aqua-allegoria-laurier-reglisse,guerlain,"bergamot, orange blossom","bay leaf, licorice","galbanum, violet, amber",fresh spicy,citrus,aromatic,soft spicy,white floral
black-perfecto-by-la-petite-robe-noire-eau-de-toilette-florale,guerlain,rose water,"rose, red rose, almond","leather, black tea, black musk",rose,leather,almond,animalic,floral
la-petite-robe-noire-legere,guerlain,"sour cherry, almond, rose water, lime, lemon","black tea, rose, raspberry, licorice, peony, peach","tonka bean, vanilla, violet, patchouli, white musk",sweet,fruity,almond,cherry,nutty
chant-d-aromes-eau-de-toilette,guerlain,"honeysuckle, citruses","ylang-ylang, jasmine, gardenia","sandalwood, vanilla",white floral,yellow floral,woody,citrus,sweet
l-eau-d-issey-eau-d-ete-2011,issey-miyake,"water notes, pear, rose","peony, carnation","osmanthus, woodsy notes",aquatic,fresh,floral,fruity,rose
classique-betty-boop-eau-fraiche,jean-paul-gaultier,"sorbet, sugar cane, ginger, lemon","tiare flower, orange blossom, jasmine","vanilla, musk, labdanum",white floral,sweet,vanilla,citrus,fruity
classique-x-eau-de-parfum,jean-paul-gaultier,"raspberry, bergamot","orange blossom, rose","vanille, iris",citrus,sweet,fruity,white floral,rose
hollywood-royal,juicy-couture,"candy apple, pear, pomelo","jasmine, gardenia, tuberose","marshmallow, vanilla, cashmere wood, musk",white floral,sweet,fruity,powdery,vanilla
citizen-queen,juliette-has-a-gun,"leather, aldehydes, bergamot","iris, rose, immortelle, tuberose, orange blossom","powdery notes, musk, labdanum, french labdanum, resins, ambroxan, vanilla",powdery,iris,musky,amber,leather
perles-de-lalique,lalique,rose,"pepper, iris, powdery notes","patchouli, oakmoss, vetiver, orris root, cashmirwood",woody,earthy,patchouli,powdery,rose
benghal,lancome,"ginger, mandarin orange","apricot, osmanthus, jasmine","sandalwood, musk",fruity,warm spicy,powdery,floral,citrus
miracle-summer,lancome,"litchi, pink grapefruit, mandarin orange","rose, magnolia, jasmine","musk, amber",citrus,floral,fruity,rose,tropical
rosa-flamenca,les-parfums-de-rosine,"neroli, mandarin orange, bergamot","rose oil, orange blossom, honeysuckle, jasmine","fig leaf, white musk, sandalwood",white floral,citrus,rose,green,floral
rose-d-amour-2006,les-parfums-de-rosine,"aldehydes, galbanum, ginger, bergamot","rose oil, iris, narcissus, jasmine, red berries","oakmoss, nutmeg, pepper, vetiver",rose,aldehydic,fresh spicy,green,earthy
rose-des-neiges,les-parfums-de-rosine,"litchi, mandarin orange, watermelon, pink pepper","rose, white violet","musk, heliotrope, ambroxan, sandalwood",powdery,musky,rose,violet,floral
gala,loewe,"aldehydes, bergamot, green notes, amalfi lemon","jasmine, carnation, ylang-ylang, rose, lily-of-the-valley","castoreum, civetta, amber, french labdanum, sandalwood, patchouli, benzoin, vanille",woody,amber,musky,animalic,warm spicy
pink-prestigium,mancera,"black currant, bergamot, agarwood (oud), saffron","bulgarian rose, patchouli leaf, jasmine","grapefruit, guaiac wood, leather, vanilla, white musk",citrus,woody,fruity,rose,fresh spicy
angel-sunessence-edition-bleu-lagon,mugler,carambola (star fruit),"water notes, ginger, floral notes","patchouli, vanille, resin",fruity,warm spicy,patchouli,fresh,aquatic
narciso-rodriguez-for-her-forever,narciso-rodriguez,"frangipani, jasmine, gardenia","osmanthus, african orange flower, tuberose","musk, patchouli",white floral,musky,floral,powdery,lactonic
humor-galaxia,natura,"carambola (star fruit), pomelo, priprioca, cardamom","apple, freesia, jasmine, raspberry","cedar, patchouli, amber",fruity,woody,aromatic,warm spicy,citrus
luna-confiante,natura,"pink pepper, pear, bergamot","rose, plumeria, freesia, lily-of-the-valley, jasmine","musk, patchouli, ambrette (musk mallow), moss, vetiver",musky,floral,woody,patchouli,earthy
una-instinct,natura,"red apple, cassis, blood orange, mandarin orange, pear, bergamot, grapefruit, priprioca","gardenia, jasmine, ylang-ylang, paramela, rose, lily-of-the-valley","vanilla, coumarin, amber, sandalwood, musk, patchouli",fruity,white floral,woody,citrus,vanilla
nina-soleil,nina-ricci,"mandarin orange, bergamot","whipped cream, gardenia","vanilla, cedar",vanilla,citrus,sweet,lactonic,white floral
coffee-woman-fusion,o-boticario,"red fruits, citruses","cacao, coffee, iris","bourbon vanilla, sandalwood, roasted coffee beans",vanilla,fruity,warm spicy,powdery,woody
floratta-cerejeira-em-flor,o-boticario,"wild berries, mandarin orange, apricot","gardenia, orange blossom, honeysuckle, jasmine, lily-of-the-valley","caramel, praline, amber, sandalwood, musk",white floral,sweet,fruity,citrus,caramel
glamour-myriad,o-boticario,"plum, peach, bergamot, mandarin orange","cinnamon leaf, jasmine, lily-of-the-valley","amber, sandalwood, musk, vanilla",warm spicy,fruity,powdery,amber,woody
my-lily,o-boticario,"violet leaf, bergamot, apricot, mandarin orange","lily-of-the-valley, narcissus, magnolia, rose","musk, cashmeran, cedar, sandalwood",citrus,floral,green,white floral,musky
delina,parfums-de-marly,"litchi, rhubarb, bergamot, nutmeg","turkish rose, peony, musk, petalia, vanilla","cashmeran, incense, cedar, haitian vetiver",rose,floral,fruity,fresh,musky
prada,prada,"bergamot, bitter orange, mandarin orange, mimosa","patchouli, rose, pink pepper","benzoin, sandalwood, musk, labdanum, tonka bean",woody,warm spicy,patchouli,amber,balsamic
lauren-style,ralph-lauren,"orange blossom, lime, tangerine, violet leaf","jasmine, magnolia, gardenia, indian tuberose","musk, patchouli, vanilla",white floral,citrus,floral,sweet,animalic
ralph-cool,ralph-lauren,"watermelon, cucumber, kiwi, nectarine","lime (linden blossom), jasmine, honeysuckle, lily-of-the-valley","vetiver, woodsy notes, musk",ozonic,aquatic,fruity,white floral,sweet
gemma-di-paradiso,roberto-cavalli,"pear, mandarin orange","jasmine, floral notes","vanilla, precious woods, amber",vanilla,woody,fruity,sweet,floral
roberto-cavalli-eau-de-parfum,roberto-cavalli,pink pepper,african orange flower,"vanille, benzoin, tonka bean",vanilla,amber,white floral,sweet,warm spicy
inara-oud,swiss-arabian,"litchi, saffron, valerian","rose, raspberry, peach","vanilla, agarwood (oud), teak wood",fruity,vanilla,oud,rose,sweet
trussardi-donna-2011,trussardi,"fruity notes, yuzu, amalfi lemon","jasmine, african orange flower, lotus","vanille, sandalwood, patchouli, virginia cedar",citrus,white floral,fruity,sweet,floral
very-valentino,valentino,"magnolia, lily-of-the-valley, tarragon, black currant, bergamot, mandarin orange, orange, lemon","violet, jasmine, woodsy notes, rosemary, rose","musk, sandalwood, vanilla, amber",floral,woody,powdery,white floral,citrus
first-premier-bouquet,van-cleef-arpels,"bergamot, vodka, peach","sweet pea, lily-of-the-valley, rose, jasmine","musk, iris, precious woods",floral,white floral,citrus,sweet,vodka
versense,versace,"bergamot, citruses, green mandarin, fig, pear","cardamom, lily, jasmine, narcissus","virginia cedar, musk, olive tree, sandalwood",citrus,woody,fresh spicy,aromatic,white floral
versace-pour-femme-oud-oriental,versace,"rose, saffron, freesia","violet, heliotrope, patchouli","agarwood (oud), leather, sandalwood, vanilla",powdery,leather,warm spicy,woody,oud
bombshell-oud,victoria-s-secret,"saffron, violet leaf, mandarin orange","white suede, peony","agarwood (oud), ambroxan",oud,leather,musky,warm spicy,amber
dream-angels-heavenly,victoria-s-secret,"cardamom, ivy, quince, mandarin orange","peony, iris, freesia, lotus, violet","musk, vanilla, sandalwood, orchid",floral,powdery,musky,fresh,warm spicy
